Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_tanh_stgs_2_gcc_4.0,bisectMax,1,0.001,9,305,0,353,607,0,0,0,0.345672846,0.203157902,0,0.000979243,0.000334692,0.603641033,0.603641033,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_tanh_stgs_2_gcc_0.5,bisectMax,1,0.001,3,473,0,553,947,0,0,0,0.547158718,0.322258472,0,0.000989437,0.000340294,0.924821138,0.924821138,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_tanh_stgs_4_gcc_4.0,bisectMax,1,0.001,81,12925,0,13973,25847,0,0,0,26.46701241,18.5330677,0,0.001894154,0.00071703,51.31784296,51.31784296,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_tanh_stgs_4_gcc_0.5,bisectMax,1,0.001,3,17189,0,18087,34379,0,0,0,35.029984,25.12002587,0,0.001936749,0.000730679,62.18020201,62.18020201,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_lcMosfet_stgs_2_gcc_4.0,bisectMax,1,0.001,9,163,0,204,327,0,0,0,1.209801912,0.810540915,0,0.005930402,0.002478718,2.060419083,2.060419083,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
