Problem,NumSolutions,Run_0,Run_1,Run_2
rambus_tanh_stgs_2_gcc_0.5,3,*10hrs (1 sol), NaN, NaN
rambus_mosfet_stgs_2_gcc_0.5,3,*10hrs, NaN, NaN
schmitt_input_voltage_0.0,1,*10hrs, NaN, NaN
,,,,
,,,,
DATE,,,,
inverter_tanh_inputVoltage_-1.0,1,0.028471947,,
inverter_tanh_inputVoltage_1.0,1,0.033303022,,
inverter_lc_inputVoltage_0.0,1,0.060801029,,
inverter_lc_inputVoltage_1.8,1,0.045182943,,
,,,,
,,,,
inverterLoop_tanh_numInverters_1,1,0.062730074,,
inverterLoop_tanh_numInverters_2,3,0.293598175,,
inverterLoop_tanh_numInverters_3,1,4.432947874,,
inverterLoop_tanh_numInverters_4,3,6526.919556,,
inverterLoop_lc_numInverters_1,1,0.104961157,,
inverterLoop_lc_numInverters_2,3,0.574340105,,
inverterLoop_lc_numInverters_3,1,4.358598232,,
inverterLoop_lc_numInverters_4,3,173.4411471,,
,,,,
exact solution,,,,
,,,,
inverter_tanh_inputVoltage_-1.0,1,0.036968946,,
inverter_tanh_inputVoltage_1.0,1,0.033066988,,
inverter_lc_inputVoltage_0.0,1,0.059581041,,
inverter_lc_inputVoltage_1.8,1,0.04441905,,
,,,,
,,,,
inverterLoop_tanh_numInverters_1,1,0.053853035,,
inverterLoop_tanh_numInverters_2,3,0.614983797,,
inverterLoop_tanh_numInverters_3,1,10.45632005,,
inverterLoop_tanh_numInverters_4,2 sol,*10 hurs(2 sol),,
inverterLoop_lc_numInverters_1,1,0.291927099,,
inverterLoop_lc_numInverters_2,3,0.300323963,,
inverterLoop_lc_numInverters_3,1,0.968466043,,
inverterLoop_lc_numInverters_4,3,25.82866597,,
